,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,76,75,76,95,109,119,158,193,187,204,324,406
Expenses +,66,66,66,85,95,100,132,158,166,168,251,314
Operating Profit,10,9,11,10,14,19,26,36,21,36,73,92
OPM %,13%,12%,14%,11%,13%,16%,16%,18%,11%,18%,23%,23%
Other Income +,2,0,1,2,0,2,5,7,5,6,9,17
Interest,3,3,3,4,4,3,3,4,3,2,3,5
Depreciation,2,2,2,3,4,5,5,5,6,6,6,9
Profit before tax,8,5,7,5,6,14,23,34,17,34,73,95
Tax %,4%,4%,28%,50%,42%,40%,27%,29%,22%,26%,25%,
Net Profit,7,5,5,3,3,8,17,25,13,25,55,71
EPS in Rs,1.28,0.79,0.82,0.47,0.58,1.43,2.87,4.28,2.34,4.43,9.57,12.31
