,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,435","9,814","11,833","13,415","15,023","15,568","14,196","14,281","15,448","17,517","19,048","21,545","22,378"
Expenses +,"5,874","7,371","9,164","10,164","11,515","11,983","11,724","11,930","12,270","15,040","15,173","17,778","17,871"
Operating Profit,"1,561","2,444","2,669","3,251","3,508","3,585","2,472","2,351","3,178","2,477","3,874","3,768","4,507"
OPM %,21%,25%,23%,24%,23%,23%,17%,16%,21%,14%,20%,17%,20%
Other Income +,52,-7,146,170,260,295,172,155,381,670,335,555,"1,125"
Interest,32,114,100,127,108,83,63,79,89,98,97,96,119
Depreciation,398,518,550,648,760,939,"1,027","1,077","1,135","1,163","1,229","1,165","1,198"
Profit before tax,"1,183","1,804","2,165","2,646","2,900","2,859","1,554","1,350","2,336","1,886","2,884","3,061","4,315"
Tax %,16%,28%,29%,26%,19%,26%,19%,32%,17%,-7%,32%,29%,
Net Profit,999,"1,301","1,527","1,963","2,336","2,131","1,292",947,"1,950","2,026","1,952","2,182","3,110"
EPS in Rs,59.02,76.72,89.90,115.41,137.13,124.88,77.96,57.07,117.42,121.92,117.35,131.14,186.82
