,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,116,171,219,239,222,293,329,391,420,444,502,529,525
Expenses +,93,109,130,189,131,155,177,226,236,241,269,327,365
Operating Profit,23,62,90,50,91,138,152,165,184,203,233,203,160
OPM %,20%,36%,41%,21%,41%,47%,46%,42%,44%,46%,46%,38%,30%
Other Income +,4,3,4,1,1,-3,3,1,5,6,9,6,10
Interest,3,12,10,13,9,8,4,9,5,4,3,3,2
Depreciation,5,6,8,10,9,9,13,18,21,26,29,35,35
Profit before tax,19,48,76,28,74,118,137,139,162,179,210,171,133
Tax %,10%,29%,34%,23%,31%,35%,32%,33%,28%,26%,28%,28%,
Net Profit,17,34,50,21,51,77,93,94,116,133,151,124,98
EPS in Rs,1.62,3.22,4.52,1.85,4.60,6.97,8.20,8.07,9.95,11.58,13.06,10.70,8.59
