,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Sep 2014
Sales +,180,101,103,139,156,176,174,262,185
Expenses +,379,197,371,173,140,127,905,266,199
Operating Profit,-199,-96,-268,-34,16,48,-731,-4,-14
OPM %,-110%,-95%,-261%,-25%,10%,28%,-421%,-2%,-8%
Other Income +,-411,4,28,5,15,-58,"1,434",9,5
Interest,66,54,5,5,8,14,18,26,19
Depreciation,15,14,14,14,14,13,3,4,3
Profit before tax,-690,-160,-258,-48,10,-37,681,-26,-31
Tax %,-15%,-0%,11%,-1%,0%,0%,0%,0%,0%
Net Profit,-794,-167,-225,-49,16,-69,673,-28,-31
EPS in Rs,-149.78,-31.43,-42.33,-9.19,3.03,-12.95,126.41,-5.10,-5.13
