,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,898,295,337,423,524,470,842,420,431,435,457,484,464
Expenses +,12,12,15,23,40,42,215,65,85,134,106,117,137
Operating Profit,886,284,322,400,484,429,628,355,347,301,352,367,327
OPM %,99%,96%,95%,94%,92%,91%,75%,85%,80%,69%,77%,76%,70%
Other Income +,2,-8,3,5,35,7,8,"2,390","2,827","3,058","3,451","3,896","4,230"
Interest,-0,0,0,-0,-0,-0,-0,-0,-0,13,4,3,3
Depreciation,0,0,2,5,6,5,5,5,4,33,34,34,34
Profit before tax,888,275,322,400,513,430,630,"2,739","3,170","3,314","3,766","4,226","4,520"
Tax %,8%,28%,21%,20%,19%,21%,21%,3%,4%,7%,3%,2%,
Net Profit,"2,323","1,679","1,856","1,988","2,029","2,265","2,473","2,655","3,048","3,080","3,654","4,126","4,454"
EPS in Rs,208.71,150.88,166.80,178.59,182.33,203.54,222.22,238.54,273.90,268.84,327.95,364.41,391.55
