,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,679,589,633,708,517,309,235,187,218,136,102,100,89
Expenses +,600,497,538,610,464,308,231,189,363,192,95,102,100
Operating Profit,79,92,95,98,53,1,3,-2,-145,-56,7,-2,-11
OPM %,12%,16%,15%,14%,10%,0%,1%,-1%,-67%,-41%,7%,-2%,-13%
Other Income +,6,2,6,7,11,5,10,8,36,376,16,6,7
Interest,45,73,76,89,96,74,90,62,72,5,2,2,2
Depreciation,7,11,13,12,21,14,12,8,8,6,5,4,4
Profit before tax,33,10,12,5,-54,-82,-89,-65,-190,308,16,-2,-11
Tax %,19%,57%,25%,-92%,-2%,3%,2%,70%,-0%,-0%,0%,-0%,
Net Profit,27,5,9,9,-54,-80,-87,-19,-190,308,16,-2,-11
EPS in Rs,,2.63,4.90,5.02,-28.94,-42.40,-30.33,-6.76,-65.93,107.27,5.48,-0.79,-3.88
