,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,230,278,335,489,613,601,604,473,491,496
Expenses +,207,251,314,460,566,542,564,448,475,478
Operating Profit,23,27,20,29,48,59,40,26,16,18
OPM %,10%,10%,6%,6%,8%,10%,7%,5%,3%,4%
Other Income +,0,1,1,1,4,16,15,8,13,17
Interest,5,10,8,9,10,10,7,4,6,9
Depreciation,2,3,3,3,3,3,3,4,4,6
Profit before tax,17,15,11,18,38,62,45,26,19,20
Tax %,34%,36%,40%,46%,37%,38%,24%,30%,30%,
Net Profit,11,10,7,10,24,38,34,18,14,14
EPS in Rs,9.08,8.18,5.70,8.08,19.91,31.80,28.64,14.73,10.04,10.73
