,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,1,192,706,284,487,399,383,299,36,135,2,-98
Expenses +,-3,117,359,151,298,183,233,149,83,41,163,138
Operating Profit,4,74,346,133,189,216,150,150,-47,94,-161,-236
OPM %,499%,39%,49%,47%,39%,54%,39%,50%,-129%,70%,"-8,196%",240%
Other Income +,0,2,5,4,6,5,8,12,14,-18,-17,14
Interest,3,10,57,79,91,102,119,155,189,178,182,68
Depreciation,0,1,2,4,5,5,6,5,5,3,3,2
Profit before tax,0,65,293,54,100,114,33,2,-227,-105,-362,-292
Tax %,52%,12%,20%,35%,5%,31%,58%,-345%,29%,2%,-0%,
Net Profit,0,57,236,36,95,79,14,10,-161,-102,-362,-292
EPS in Rs,0.05,21.06,65.00,9.79,17.36,6.87,1.03,0.66,-13.71,-8.91,-31.51,-25.51
