,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,336,337,388,404,431,397,431,513,843,"1,767","1,867","2,009","2,154"
Expenses +,252,259,291,319,331,305,331,387,658,"1,446","1,522","1,664","1,816"
Operating Profit,84,77,97,85,100,91,99,125,185,321,344,345,338
OPM %,25%,23%,25%,21%,23%,23%,23%,24%,22%,18%,18%,17%,16%
Other Income +,7,9,16,19,28,32,32,35,28,-33,-123,10,5
Interest,0,0,0,0,0,0,1,2,30,140,84,26,19
Depreciation,1,4,4,-0,8,7,7,9,13,26,25,24,24
Profit before tax,90,82,108,104,120,117,124,150,171,121,112,306,299
Tax %,34%,17%,8%,5%,7%,10%,10%,9%,-0%,-17%,-6%,-1%,
Net Profit,59,69,99,98,111,105,111,137,171,142,119,309,302
EPS in Rs,15.22,17.32,24.85,24.69,27.88,26.43,27.89,34.27,29.33,24.58,18.66,48.54,47.47
