,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,41,110,123,155,171,186,198,215,222
Expenses +,38,99,105,131,147,157,159,167,177
Operating Profit,3,10,18,24,24,29,38,47,45
OPM %,7%,9%,15%,16%,14%,16%,19%,22%,20%
Other Income +,0,1,1,3,8,3,1,4,5
Interest,0,5,6,4,3,2,2,3,4
Depreciation,0,2,2,2,3,4,9,11,12
Profit before tax,3,5,11,20,26,27,29,37,35
Tax %,33%,33%,25%,25%,20%,17%,15%,7%,
Net Profit,2,3,8,15,21,22,25,34,33
EPS in Rs,2.10,3.66,9.84,14.39,9.88,10.17,12.77,17.68,17.01
