,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,327","2,713","2,344","1,574","2,237","1,931","1,499","1,994","2,592","2,079","1,527","1,875","2,219"
Expenses +,"1,419","2,600","2,311","1,662","2,174","1,891","1,445","1,883","2,492","1,966","1,456","1,699","1,956"
Operating Profit,-92,113,33,-88,63,40,54,111,100,113,71,176,263
OPM %,-7%,4%,1%,-6%,3%,2%,4%,6%,4%,5%,5%,9%,12%
Other Income +,-469,60,"1,177",215,11,38,50,20,34,24,58,56,52
Interest,32,88,55,31,32,15,11,41,36,34,14,14,17
Depreciation,70,60,62,60,34,32,31,40,32,32,38,44,39
Profit before tax,-665,25,"1,094",37,8,31,63,50,66,70,77,174,258
Tax %,-0%,106%,-0%,-9%,-37%,0%,9%,9%,4%,4%,4%,6%,
Net Profit,-657,-2,"1,098",39,10,31,57,45,63,67,74,163,250
EPS in Rs,-37.64,-0.13,54.00,1.91,0.51,1.52,2.81,2.23,3.09,3.31,3.64,8.02,12.30
