,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,517,602,821,954,"1,013","1,111",388,393,396,431,"1,292","1,179","1,365"
Expenses +,391,436,570,708,754,783,285,302,311,348,983,866,996
Operating Profit,126,166,251,246,259,328,102,92,85,83,309,314,369
OPM %,24%,28%,31%,26%,26%,30%,26%,23%,21%,19%,24%,27%,27%
Other Income +,12,8,13,15,17,13,83,30,54,358,25,11,19
Interest,21,20,15,19,29,25,5,6,11,13,103,80,66
Depreciation,45,50,63,70,80,89,28,27,30,33,133,131,131
Profit before tax,72,104,186,173,166,227,152,89,97,395,98,113,191
Tax %,-11%,4%,27%,22%,11%,19%,19%,17%,14%,8%,-6%,17%,
Net Profit,80,100,136,136,147,191,123,74,83,365,104,94,185
EPS in Rs,6.39,7.80,10.62,10.17,10.89,15.05,9.87,5.96,6.63,29.26,8.26,7.56,14.78
