,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"8,514","7,757","7,600","8,943","12,429","13,135","11,906","15,857","22,745"
Expenses +,"8,130","7,197","7,041","8,404","11,417","12,283","11,001","15,478","22,062"
Operating Profit,385,560,559,539,"1,012",852,904,379,683
OPM %,5%,7%,7%,6%,8%,6%,8%,2%,3%
Other Income +,37,45,45,62,52,-331,33,34,45
Interest,304,231,193,192,320,409,294,137,196
Depreciation,73,87,85,73,285,374,312,335,344
Profit before tax,45,287,325,335,459,-263,331,-58,188
Tax %,41%,31%,36%,36%,36%,31%,28%,-63%,
Net Profit,26,197,208,213,294,-181,237,-95,123
EPS in Rs,0.53,4.02,4.24,4.34,5.99,-3.69,4.83,-1.94,2.51
