,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,172,335,374,509,558,489,534,721,892,"1,049","1,187","1,412","1,637"
Expenses +,156,306,327,446,474,397,502,705,819,914,"1,000","1,254","1,456"
Operating Profit,16,29,47,63,84,92,32,16,73,135,187,158,181
OPM %,9%,9%,13%,12%,15%,19%,6%,2%,8%,13%,16%,11%,11%
Other Income +,8,12,10,9,9,-1,14,12,14,3,5,33,31
Interest,9,17,20,25,24,24,31,32,41,48,42,41,54
Depreciation,6,14,14,12,16,17,22,27,29,33,44,56,58
Profit before tax,9,11,24,35,53,50,-6,-31,17,58,105,94,101
Tax %,19%,64%,36%,18%,-4%,28%,26%,22%,82%,49%,38%,36%,
Net Profit,7,4,15,29,55,36,-4,-24,3,30,65,60,54
EPS in Rs,0.76,0.40,1.61,3.04,5.74,3.71,-1.08,-2.44,0.05,2.50,4.00,3.87,4.42
