,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,392","2,643","2,682","2,632","2,430","2,694","2,172","1,682","1,739",730,502,403,403
Expenses +,"2,225","2,467","2,513","2,512","2,278","2,692","2,527","1,832","2,205","1,043",496,488,632
Operating Profit,167,177,169,120,152,1,-356,-149,-466,-313,6,-86,-229
OPM %,7%,7%,6%,5%,6%,0%,-16%,-9%,-27%,-43%,1%,-21%,-57%
Other Income +,18,51,21,77,101,47,317,153,135,62,30,40,42
Interest,56,116,162,231,284,385,489,589,447,118,64,63,"1,193"
Depreciation,23,26,31,40,46,38,45,31,23,18,16,13,12
Profit before tax,107,85,-3,-74,-78,-375,-572,-617,-802,-388,-44,-121,"-1,393"
Tax %,37%,22%,-736%,-2%,-5%,-0%,91%,24%,1%,0%,0%,0%,
Net Profit,67,66,-21,-75,-81,-377,-51,-470,-791,-387,-44,-121,"-1,392"
EPS in Rs,20.38,21.11,-7.03,-24.25,-18.30,-72.15,-10.62,-29.17,-45.51,-18.26,-2.11,-5.32,-65.40
