,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,294,423,705,"1,020","1,348",810,"1,724",876,492,194,157
Expenses +,206,295,516,763,"1,030",332,"1,228",903,997,299,545
Operating Profit,88,127,189,257,318,477,496,-27,-505,-105,-389
OPM %,30%,30%,27%,25%,24%,59%,29%,-3%,-103%,-54%,-248%
Other Income +,5,6,8,12,36,0,25,44,29,-524,"-1,774"
Interest,13,18,25,63,139,297,516,487,546,327,359
Depreciation,1,5,8,10,15,23,62,71,72,84,78
Profit before tax,78,111,164,196,199,158,-58,-541,"-1,094","-1,041","-2,600"
Tax %,35%,34%,34%,32%,35%,42%,88%,9%,17%,14%,27%
Net Profit,51,73,108,134,130,91,-7,-491,-945,-987,"-2,236"
EPS in Rs,22.68,32.54,39.04,48.42,47.11,29.20,-0.09,-127.93,-181.51,-193.06,-438.91
