,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,326,529,556,572,637,655,571,492,502,654,727
Expenses +,296,480,498,525,581,606,534,466,469,598,658
Operating Profit,30,50,58,47,57,48,37,26,34,57,69
OPM %,9%,9%,10%,8%,9%,7%,6%,5%,7%,9%,10%
Other Income +,15,2,3,1,2,21,2,5,4,3,7
Interest,16,22,25,24,13,7,9,8,6,4,3
Depreciation,13,19,19,19,19,15,17,21,21,21,21
Profit before tax,17,11,17,5,26,47,14,3,11,35,51
Tax %,25%,-21%,44%,56%,43%,15%,34%,-144%,33%,8%,
Net Profit,13,13,10,2,15,40,9,7,8,32,42
EPS in Rs,11.98,12.77,7.25,1.50,10.59,28.00,6.51,4.98,5.35,22.31,28.84
