,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,70,68,78,90,111,137,181,157,190
Expenses +,58,60,72,74,93,114,156,138,160
Operating Profit,12,7,6,15,18,23,25,19,30
OPM %,16%,11%,7%,17%,16%,17%,14%,12%,16%
Other Income +,1,4,2,1,3,1,3,1,0
Interest,4,6,5,8,8,10,11,10,13
Depreciation,3,4,4,5,6,7,8,8,9
Profit before tax,5,3,-1,3,7,6,10,2,9
Tax %,21%,7%,-112%,103%,58%,34%,39%,27%,35%
Net Profit,4,3,-2,-0,3,4,6,1,6
EPS in Rs,,1.33,-1.08,0.01,1.64,2.02,3.20,0.56,3.07
