,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales +,150,175,208,227,229,240,195,210,94,80,98,44,24
Expenses +,97,116,135,135,117,116,123,121,170,52,97,76,63
Operating Profit,53,59,73,92,112,124,72,89,-76,28,1,-32,-39
OPM %,35%,34%,35%,41%,49%,52%,37%,42%,-80%,35%,1%,-72%,-163%
Other Income +,1,1,10,8,3,1,1,53,9,89,54,-0,-2
Interest,6,6,13,19,21,25,43,59,69,89,47,41,38
Depreciation,28,27,34,39,53,55,43,45,82,65,75,38,29
Profit before tax,20,27,35,43,41,45,-13,38,-219,-37,-67,-112,-108
Tax %,19%,1%,21%,23%,10%,5%,-50%,22%,0%,60%,5%,6%,
Net Profit,16,27,28,33,37,43,-20,30,-218,-15,-63,-105,-100
EPS in Rs,,3.36,3.51,4.16,4.71,5.39,-2.49,3.78,-27.50,-1.87,-8.00,-13.24,-12.66
