,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,903,"1,120",980,833,"1,095","1,256","1,292","1,738","2,135","1,129","1,079","1,718","2,171"
Expenses +,796,"1,015",895,785,"1,001","1,092","1,091","1,499","1,856","1,013",945,"1,491","1,908"
Operating Profit,107,104,86,49,95,164,201,239,279,116,134,227,263
OPM %,12%,9%,9%,6%,9%,13%,16%,14%,13%,10%,12%,13%,12%
Other Income +,1,-2,2,18,2,7,6,9,11,15,10,5,10
Interest,22,19,27,24,18,20,14,20,28,18,7,4,3
Depreciation,32,32,29,26,31,45,48,41,46,41,36,37,40
Profit before tax,54,51,32,17,47,105,145,186,216,72,101,191,230
Tax %,32%,18%,14%,17%,38%,32%,28%,33%,36%,33%,28%,26%,
Net Profit,37,42,28,14,29,72,105,125,137,48,73,141,169
EPS in Rs,0.95,1.07,0.70,0.35,0.74,1.80,2.63,3.14,3.45,1.20,1.83,3.53,4.25
