,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,76,104,165,175,228,320,307,358,457
Expenses +,72,97,153,179,205,300,296,347,443
Operating Profit,4,7,12,-4,23,20,11,11,14
OPM %,5%,7%,7%,-2%,10%,6%,3%,3%,3%
Other Income +,0,0,1,5,1,2,2,4,1
Interest,2,2,4,6,7,8,6,8,8
Depreciation,1,1,2,2,2,3,3,2,2
Profit before tax,2,4,8,-7,15,11,4,5,4
Tax %,29%,34%,37%,-7%,20%,33%,33%,32%,33%
Net Profit,1,3,5,-7,12,7,3,3,3
EPS in Rs,,1.46,2.44,-3.52,6.01,3.71,1.31,1.46,1.31
