,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,701","2,218","3,774","3,628","2,860","2,462","2,081","1,261",603,347,189,420,417
Expenses +,"1,408","1,934","3,253","3,268","2,532","2,194","2,741","1,550",665,423,331,426,447
Operating Profit,292,283,521,360,328,268,-660,-289,-62,-76,-142,-6,-30
OPM %,17%,13%,14%,10%,11%,11%,-32%,-23%,-10%,-22%,-75%,-1%,-7%
Other Income +,23,109,199,-125,154,132,99,"-1,565",-157,-363,"2,758",10,38
Interest,88,185,346,432,342,496,147,11,7,3,2,30,36
Depreciation,61,82,163,267,367,374,158,149,146,145,107,106,103
Profit before tax,166,126,210,-464,-227,-471,-865,"-2,013",-372,-587,"2,507",-131,-131
Tax %,32%,35%,35%,37%,34%,21%,34%,-26%,0%,0%,0%,0%,
Net Profit,113,82,137,-294,-149,-370,-573,"-2,528",-372,-587,"2,507",-131,-131
EPS in Rs,11.32,7.44,4.16,-8.88,-4.51,-11.17,-17.28,-76.28,-11.24,-17.73,756.69,-39.62,-39.59
