,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,085","4,925","5,293","6,862","7,851","8,011","9,221","6,794","7,142","7,369","5,073","8,034","8,995"
Expenses +,"3,555","4,321","4,605","5,927","6,816","7,037","8,261","6,103","6,419","6,661","4,595","7,223","8,101"
Operating Profit,530,604,687,935,"1,036",974,960,691,723,708,478,811,893
OPM %,13%,12%,13%,14%,13%,12%,10%,10%,10%,10%,9%,10%,10%
Other Income +,55,362,81,52,39,89,66,109,39,5,15,36,71
Interest,236,309,315,354,417,383,312,192,236,255,239,197,164
Depreciation,172,161,204,225,212,239,294,222,235,290,285,272,262
Profit before tax,176,495,248,407,445,441,420,385,290,168,-31,378,539
Tax %,6%,12%,0%,13%,24%,28%,24%,18%,21%,45%,11%,36%,
Net Profit,165,436,248,353,338,316,321,316,228,92,-27,242,411
EPS in Rs,6.48,17.12,9.63,13.71,13.21,12.17,12.18,11.97,8.75,3.70,-0.64,9.14,15.35
