,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,704,794,801,942,"1,017","1,192","1,252","1,410","1,785","1,714",619,"1,290","1,859"
Expenses +,582,673,730,860,938,"1,082","1,117","1,214","1,558","1,418",683,"1,143","1,595"
Operating Profit,122,121,71,82,79,110,134,196,227,296,-64,147,264
OPM %,17%,15%,9%,9%,8%,9%,11%,14%,13%,17%,-10%,11%,14%
Other Income +,2,1,1,18,7,3,7,9,8,-36,48,36,43
Interest,6,9,7,4,3,3,3,2,4,25,31,26,24
Depreciation,15,17,20,17,18,14,14,13,17,87,78,70,70
Profit before tax,103,96,45,80,65,95,126,190,215,148,-125,86,212
Tax %,14%,29%,31%,28%,29%,30%,32%,33%,32%,25%,22%,22%,
Net Profit,89,68,32,58,47,66,85,127,145,112,-97,67,158
EPS in Rs,6.28,4.78,2.23,4.08,3.30,4.70,6.03,8.97,10.28,7.91,-6.90,4.73,11.20
