,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,427","3,069","4,481","4,736","4,331","3,784","3,666","1,911","1,841","1,643",2,1,1
Expenses +,"2,146","2,802","3,964","4,452","4,182","3,468","3,342","1,574","1,669","1,618",17,4,5
Operating Profit,281,267,517,284,149,316,324,337,172,25,-15,-3,-3
OPM %,12%,9%,12%,6%,3%,8%,9%,18%,9%,2%,-798%,-257%,-229%
Other Income +,-7,79,55,-114,32,26,57,13,"1,422",-835,300,185,183
Interest,190,325,462,622,598,643,680,203,179,213,5,3,4
Depreciation,142,176,284,300,258,257,237,110,158,166,1,0,0
Profit before tax,-58,-155,-173,-752,-675,-557,-537,38,"1,258","-1,189",280,178,176
Tax %,17%,-7%,-20%,12%,4%,23%,13%,40%,13%,-6%,0%,0%,
Net Profit,-48,-166,-208,-663,-649,-432,-469,23,"1,090","-1,255",280,178,176
EPS in Rs,-15.35,-56.08,-70.44,-220.66,-216.28,-140.85,-146.95,8.33,347.49,-395.75,93.36,56.89,56.27
