,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales +,586,706,774,853,987,"1,167","1,224","1,371"
Expenses +,537,639,720,785,899,"1,042",969,"1,058"
Operating Profit,49,67,54,68,89,125,255,314
OPM %,8%,9%,7%,8%,9%,11%,21%,23%
Other Income +,4,4,5,5,7,4,7,7
Interest,14,17,18,27,26,24,19,18
Depreciation,29,42,27,36,36,38,41,41
Profit before tax,10,12,14,10,33,67,202,261
Tax %,33%,18%,-1%,44%,28%,26%,30%,
Net Profit,7,10,14,6,24,50,141,178
EPS in Rs,2.34,3.49,5.03,2.00,8.45,17.33,48.90,61.73
