,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,738,"1,385","2,167","1,590","1,965","2,435","2,060","2,594","3,092","2,223","2,368","2,976","3,843"
Expenses +,654,"1,250","2,058","1,463","1,778","2,206","1,868","2,316","2,797","2,309","2,189","2,680","3,426"
Operating Profit,84,136,109,127,188,229,192,278,295,-86,179,296,417
OPM %,11%,10%,5%,8%,10%,9%,9%,11%,10%,-4%,8%,10%,11%
Other Income +,4,2,33,44,23,29,27,27,80,54,33,56,50
Interest,26,27,42,28,39,37,30,40,51,41,39,32,34
Depreciation,17,45,77,48,60,74,58,74,88,87,94,112,125
Profit before tax,45,65,22,96,111,147,131,191,236,-160,80,208,308
Tax %,23%,21%,78%,18%,24%,25%,22%,25%,28%,-25%,39%,12%,
Net Profit,35,52,5,79,88,110,102,143,169,-200,53,192,256
EPS in Rs,1.80,2.48,0.29,3.79,4.28,5.12,4.88,6.82,7.45,-8.79,2.21,8.03,10.71
