,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,49,132,161,180,103,132,138,57,15,-1,0,0,0
Expenses +,48,124,122,132,74,80,97,62,24,-0,1,1,1
Operating Profit,1,8,39,48,30,52,41,-4,-9,-1,-1,-1,-1
OPM %,2%,6%,24%,27%,29%,39%,30%,-7%,-56%,,,,
Other Income +,0,-0,0,0,4,4,1,-1,1,1,0,0,0
Interest,6,20,18,19,8,16,15,16,12,13,4,0,0
Depreciation,12,22,21,21,15,25,19,23,24,23,20,20,20
Profit before tax,-17,-34,0,8,11,14,8,-44,-44,-37,-25,-21,-21
Tax %,32%,33%,-177%,34%,16%,6%,29%,0%,0%,-0%,-0%,0%,
Net Profit,-11,-23,1,5,9,13,5,-53,-44,-37,-25,-21,-21
EPS in Rs,-5.00,-9.18,0.36,1.74,2.46,3.75,1.52,-15.11,-12.50,-10.55,-7.15,-6.09,-6.07
