,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,973,"1,230","1,089","1,652","2,118","2,752","3,963","3,031","4,206","5,487"
Expenses +,899,"1,128",975,"1,521","1,934","2,538","3,650","2,804","3,927","5,152"
Operating Profit,74,102,114,131,184,214,313,226,280,335
OPM %,8%,8%,10%,8%,9%,8%,8%,7%,7%,6%
Other Income +,7,7,3,9,9,9,6,28,30,43
Interest,32,43,53,64,54,25,43,42,48,76
Depreciation,18,26,31,40,49,62,85,92,108,121
Profit before tax,31,40,33,36,89,136,191,120,154,180
Tax %,27%,29%,26%,38%,30%,30%,14%,31%,28%,
Net Profit,22,29,24,22,62,95,164,83,111,133
EPS in Rs,9.96,13.26,11.10,9.30,19.81,29.78,50.37,24.22,32.41,38.11
