,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,087","1,091","1,073",991,510,548,572,370,295,314,278,335,400
Expenses +,"1,027","1,027","1,069","1,048",588,552,583,409,330,315,295,350,390
Operating Profit,60,64,4,-57,-77,-4,-11,-39,-36,-0,-17,-16,10
OPM %,6%,6%,0%,-6%,-15%,-1%,-2%,-10%,-12%,-0%,-6%,-5%,2%
Other Income +,11,10,12,29,-105,25,17,7,65,95,8,119,135
Interest,38,46,41,49,45,49,45,43,49,43,30,31,28
Depreciation,22,25,24,20,12,12,12,12,9,7,8,5,5
Profit before tax,11,3,-49,-97,-240,-39,-52,-87,-28,45,-48,67,112
Tax %,33%,2%,-5%,1%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit,7,3,-51,-97,-240,-39,-52,-87,-28,45,-48,67,112
EPS in Rs,1.37,0.66,-9.64,-18.65,-45.19,-7.09,-7.88,-13.12,-4.21,6.82,-7.24,10.15,16.82
