,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,547","6,452","7,135","8,051","8,468","7,594","6,130","8,116","10,073","9,440","10,457","13,938","16,478"
Expenses +,"4,990","5,778","6,461","7,274","7,713","6,798","5,315","7,083","8,885","8,374","8,868","12,163","14,886"
Operating Profit,558,674,674,777,755,796,815,"1,033","1,189","1,067","1,589","1,775","1,592"
OPM %,10%,10%,9%,10%,9%,10%,13%,13%,12%,11%,15%,13%,10%
Other Income +,20,25,222,35,48,949,42,97,124,107,187,159,175
Interest,90,128,123,102,96,91,13,25,16,51,90,67,43
Depreciation,80,95,110,116,139,134,121,140,149,218,249,261,289
Profit before tax,407,476,664,594,569,"1,520",723,965,"1,147",904,"1,438","1,607","1,435"
Tax %,25%,22%,12%,25%,32%,14%,32%,31%,31%,19%,27%,26%,
Net Profit,304,370,581,446,385,"1,300",494,661,788,735,"1,044","1,196","1,066"
EPS in Rs,4.87,5.93,9.32,7.15,6.17,20.82,7.91,10.60,12.59,11.75,16.68,19.10,17.02
