,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,496","2,618","3,042","3,492","3,966","4,199","4,574","4,561","4,469","4,632","4,030","5,718","5,940"
Expenses +,"1,434","2,290","3,827","3,430","3,857","4,106","4,220","4,287","4,238","4,022","3,626","4,649","4,878"
Operating Profit,62,328,-785,62,109,92,354,274,231,610,404,"1,069","1,062"
OPM %,4%,13%,-26%,2%,3%,2%,8%,6%,5%,13%,10%,19%,18%
Other Income +,444,200,"2,169",152,92,299,649,-689,228,126,95,367,138
Interest,250,251,461,250,152,133,229,258,337,205,166,147,132
Depreciation,104,175,229,183,235,225,222,239,233,292,291,301,305
Profit before tax,152,102,694,-219,-185,34,552,-912,-110,239,43,988,764
Tax %,10%,36%,25%,-5%,-2%,-24%,13%,-2%,-103%,62%,230%,20%,
Net Profit,129,67,528,-218,-130,42,479,-934,-224,91,-56,790,581
EPS in Rs,3.07,1.78,12.34,-4.73,-3.10,0.40,8.14,-19.46,-3.96,0.77,-1.45,7.35,6.78
