,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,17,18,18,80,80,81,81,81,81,81
Reserves,148,138,25,159,222,273,286,297,278,437
Borrowings +,704,"1,041","1,357",982,921,"1,144","1,313","1,403","1,356","1,184"
Other Liabilities +,188,256,224,237,319,392,414,456,457,492
Total Liabilities,"1,058","1,453","1,624","1,459","1,541","1,890","2,094","2,237","2,171","2,194"
Fixed Assets +,606,874,956,842,859,927,"1,089","1,090","1,004","1,051"
CWIP,48,30,15,14,40,153,10,4,25,21
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets +,404,549,653,603,642,810,994,"1,143","1,142","1,122"
Total Assets,"1,058","1,453","1,624","1,459","1,541","1,890","2,094","2,237","2,171","2,194"
