,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,354,375,357,405,391,349,280,238,216,191,100,127,164
Expenses +,316,347,326,363,369,344,289,260,227,182,122,143,172
Operating Profit,38,28,31,42,22,5,-8,-22,-11,9,-22,-17,-8
OPM %,11%,7%,9%,10%,6%,2%,-3%,-9%,-5%,5%,-22%,-13%,-5%
Other Income +,14,6,3,3,6,3,21,11,3,12,25,26,21
Interest,3,4,4,5,5,5,5,5,6,15,10,7,6
Depreciation,7,8,10,10,10,11,12,11,11,35,23,19,18
Profit before tax,42,22,20,31,13,-8,-4,-26,-25,-30,-30,-16,-11
Tax %,21%,19%,30%,28%,29%,2%,-3%,10%,-7%,4%,1%,1%,
Net Profit,33,18,14,22,9,-8,-4,-23,-27,-29,-29,-16,-11
EPS in Rs,17.28,9.21,7.23,11.35,4.62,-4.21,-2.24,-12.03,-12.58,-12.89,-11.87,-6.61,-4.40
