,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,236,178,143,176,275,503,325,407,426,562
Expenses +,382,306,265,335,442,475,384,381,437,575
Operating Profit,-146,-129,-121,-159,-167,28,-58,27,-10,-12
OPM %,-62%,-72%,-85%,-90%,-61%,6%,-18%,7%,-2%,-2%
Other Income +,6,-26,15,6,63,117,21,21,34,39
Interest,43,53,69,98,78,68,58,54,51,51
Depreciation,19,10,10,9,6,3,3,3,1,1
Profit before tax,-202,-217,-185,-259,-187,73,-98,-8,-29,-25
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit,-202,-217,-185,-259,-187,73,-98,-8,-29,-25
EPS in Rs,-28.41,-32.07,-26.82,-38.37,-27.79,10.79,-14.33,0.38,-3.97,-3.29
