,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,543,519,512,732,553,657,821,716,855,701,742,"1,155","1,265"
Expenses +,474,493,489,690,523,618,733,650,794,649,673,"1,084","1,174"
Operating Profit,69,26,23,42,31,38,87,65,61,51,69,71,91
OPM %,13%,5%,5%,6%,6%,6%,11%,9%,7%,7%,9%,6%,7%
Other Income +,7,6,5,4,3,4,6,6,12,16,9,13,11
Interest,7,11,13,26,32,38,42,44,46,46,46,44,47
Depreciation,6,7,8,10,13,15,15,16,19,20,19,17,16
Profit before tax,62,15,8,9,-11,-10,36,11,9,2,13,23,39
Tax %,32%,31%,25%,35%,34%,32%,34%,41%,41%,44%,39%,39%,
Net Profit,42,10,5,5,-8,-7,24,6,5,1,8,14,25
EPS in Rs,2.89,0.70,0.34,0.39,-0.61,-0.57,1.76,0.41,0.34,0.03,0.53,1.06,1.84
