,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,626,913,"1,107","1,324","1,515","1,593","1,683","1,672","1,814","1,711","1,909","2,196","2,342"
Expenses +,546,827,"1,028","1,170","1,350","1,370","1,428","1,415","1,532","1,460","1,594","1,948","2,083"
Operating Profit,80,86,79,154,164,223,255,257,282,251,315,248,259
OPM %,13%,9%,7%,12%,11%,14%,15%,15%,16%,15%,16%,11%,11%
Other Income +,16,21,13,8,6,13,10,62,27,16,-5,19,35
Interest,2,24,68,55,14,62,56,48,35,33,19,12,13
Depreciation,13,25,22,24,33,31,30,31,31,53,56,58,56
Profit before tax,81,58,1,82,125,143,179,241,243,182,235,197,225
Tax %,19%,34%,"-1,199%",1%,3%,48%,-14%,26%,19%,10%,19%,19%,
Net Profit,66,38,16,81,121,74,204,179,198,163,191,159,188
EPS in Rs,2.13,1.38,0.61,2.25,3.35,2.16,5.73,5.12,5.59,4.64,5.43,4.41,5.16
