,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,023",712,708,624,623,588,490,539,524,521,506,657,807
Expenses +,922,674,680,610,717,551,496,531,516,466,519,634,768
Operating Profit,101,38,27,14,-94,37,-6,8,8,55,-13,23,39
OPM %,10%,5%,4%,2%,-15%,6%,-1%,1%,2%,11%,-3%,3%,5%
Other Income +,30,48,23,19,11,27,58,38,36,20,12,53,68
Interest,28,41,37,44,31,40,34,26,27,20,27,25,19
Depreciation,14,18,21,19,22,15,16,14,13,15,12,11,11
Profit before tax,88,27,-7,-30,-136,8,3,5,4,40,-40,40,77
Tax %,26%,44%,-136%,-45%,-6%,-16%,55%,7%,-24%,0%,-1%,11%,
Net Profit,66,15,-17,-43,-145,9,1,5,5,40,-40,36,73
EPS in Rs,4.15,0.86,-1.07,-2.80,-9.17,0.53,0.12,0.33,0.38,2.22,-2.24,1.62,3.36
