,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,65,83,86,117,129,130,129,164,167,182,206,252,285
Expenses +,54,72,77,98,111,113,104,133,137,146,162,209,254
Operating Profit,11,11,10,19,18,17,25,31,30,36,43,43,31
OPM %,17%,13%,11%,16%,14%,13%,20%,19%,18%,20%,21%,17%,11%
Other Income +,0,0,1,1,0,0,0,0,0,1,1,0,0
Interest,1,2,2,1,2,2,2,1,1,2,2,8,15
Depreciation,2,2,2,2,3,3,3,3,3,3,3,11,16
Profit before tax,9,8,7,16,13,12,21,27,25,32,38,23,1
Tax %,33%,34%,35%,35%,27%,34%,34%,35%,29%,25%,26%,39%,
Net Profit,6,5,4,10,9,8,14,18,18,24,28,14,-7
EPS in Rs,4.84,4.50,3.70,8.72,7.94,6.37,11.39,14.76,15.11,20.31,23.94,12.02,-5.73
