,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,327","6,615","9,785","21,388","24,153","12,924","8,723","5,514","3,352","3,298","3,848","7,310","7,811"
Expenses +,"3,258","4,828","7,408","16,462","19,111","15,620","10,048","19,038","3,482","3,436","3,652","6,745","7,425"
Operating Profit,"1,069","1,787","2,377","4,926","5,042","-2,696","-1,325","-13,524",-130,-138,196,564,386
OPM %,25%,27%,24%,23%,21%,-21%,-15%,-245%,-4%,-4%,5%,8%,5%
Other Income +,183,27,-26,84,463,77,-65,211,"7,063","2,082","-3,865",45,84
Interest,599,782,"1,235","2,814","3,513","2,874","3,442","4,711","4,309",94,489,476,476
Depreciation,367,531,749,"1,418","1,522","1,063",561,545,550,542,295,342,355
Profit before tax,286,501,367,779,471,"-6,555","-5,393","-18,569","2,075","1,308","-4,454",-209,-361
Tax %,45%,36%,75%,62%,46%,34%,43%,-0%,-0%,-0%,-27%,0%,
Net Profit,137,312,93,297,258,"-4,357","-3,083","-18,580","2,076","1,310","-5,673",-209,-360
EPS in Rs,1.05,2.37,0.68,2.15,1.88,-31.63,-22.39,-134.90,15.07,5.93,-11.43,-0.42,-0.73
