,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,100,182,337,408,350,328,208,194,314,384,257,350,406
Expenses +,154,172,264,368,280,293,320,160,202,215,189,220,252
Operating Profit,-55,10,74,40,71,35,-112,33,112,169,68,130,153
OPM %,-55%,5%,22%,10%,20%,11%,-54%,17%,36%,44%,26%,37%,38%
Other Income +,18,16,21,13,104,24,19,20,30,30,101,46,40
Interest,0,0,1,1,1,1,3,1,4,6,6,7,7
Depreciation,26,34,47,50,45,47,48,49,52,55,57,84,102
Profit before tax,-64,-9,46,2,128,11,-145,3,86,139,106,85,83
Tax %,-5%,-52%,13%,203%,5%,52%,-3%,66%,4%,4%,7%,1%,
Net Profit,-67,-13,40,-2,122,5,-149,1,82,133,99,84,85
EPS in Rs,-19.81,-3.89,11.92,-0.61,35.99,2.12,-58.55,0.39,32.19,52.41,38.76,32.73,33.23
