,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,684","7,537","8,198","8,906","9,733","9,008","7,553","7,541","10,095","12,206","12,719","16,069","23,929"
Expenses +,"4,981","6,707","7,512","8,229","8,996","8,354","6,795","6,730","8,894","10,281","10,249","13,804","21,947"
Operating Profit,703,830,686,677,737,654,759,811,"1,200","1,925","2,470","2,265","1,982"
OPM %,12%,11%,8%,8%,8%,7%,10%,11%,12%,16%,19%,14%,8%
Other Income +,90,72,93,103,103,32,133,172,-2,192,470,374,367
Interest,127,130,140,209,164,267,255,157,247,504,291,109,184
Depreciation,323,308,267,282,216,111,92,85,119,287,289,300,306
Profit before tax,343,464,372,289,459,308,544,740,832,"1,327","2,360","2,231","1,859"
Tax %,37%,72%,43%,19%,39%,52%,34%,33%,30%,8%,26%,30%,
Net Profit,216,129,212,235,280,147,359,495,585,"1,226","1,748","1,566","1,295"
EPS in Rs,5.78,3.80,5.73,5.87,7.08,5.31,8.70,11.99,14.18,29.46,39.76,37.62,31.10
