,Sep 2010,Sep 2011,Sep 2012,Sep 2013,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,158,132,161,135,123,200,144,150,191,220,226,260,303
Expenses +,216,137,147,133,124,178,125,124,155,170,181,209,246
Operating Profit,-58,-6,13,2,-1,22,18,25,36,50,45,51,57
OPM %,-36%,-4%,8%,1%,-1%,11%,13%,17%,19%,23%,20%,19%,19%
Other Income +,108,5,5,0,19,5,5,6,4,4,3,5,3
Interest,15,8,9,10,7,13,8,6,7,13,10,8,8
Depreciation,7,8,9,9,9,11,8,9,13,20,22,25,27
Profit before tax,29,-16,1,-17,2,2,7,15,20,20,16,23,25
Tax %,25%,4%,19%,2%,24%,0%,9%,20%,-11%,29%,22%,31%,
Net Profit,22,-16,1,-17,2,2,6,12,22,14,12,16,17
EPS in Rs,9.81,-6.81,0.45,-7.29,0.85,0.97,2.75,5.31,9.77,6.30,5.42,7.05,7.55
