,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,232","1,576","2,021","2,305","2,372","2,688","2,802","2,991","3,676","4,184","4,663","6,432","7,190"
Expenses +,994,"1,306","1,688","1,950","2,036","2,214","2,322","2,489","3,026","3,459","3,882","5,330","5,948"
Operating Profit,238,271,333,355,337,474,480,502,650,725,781,"1,102","1,242"
OPM %,19%,17%,16%,15%,14%,18%,17%,17%,18%,17%,17%,17%,17%
Other Income +,14,30,23,30,-64,20,4,38,46,59,13,52,56
Interest,2,4,5,4,6,8,6,9,9,16,14,65,76
Depreciation,31,36,57,62,92,121,128,127,125,173,184,227,239
Profit before tax,218,260,293,318,176,365,351,404,562,595,596,862,981
Tax %,15%,24%,26%,25%,31%,21%,22%,24%,25%,21%,22%,17%,
Net Profit,185,196,218,238,122,287,272,309,422,468,466,715,814
EPS in Rs,30.75,33.08,35.40,37.98,18.69,44.13,40.76,45.59,65.28,71.05,75.19,108.65,121.84
