,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Sales +,99,131,243,311,437,536,705,"1,016","1,147","1,480","1,327",888
Expenses +,83,106,194,257,370,469,622,903,"1,031","1,316","1,281",952
Operating Profit,16,25,49,55,67,67,83,113,116,163,45,-65
OPM %,16%,19%,20%,18%,15%,13%,12%,11%,10%,11%,3%,-7%
Other Income +,0,3,5,4,14,3,14,-3,11,15,2,6
Interest,0,1,7,9,13,17,25,31,41,52,60,73
Depreciation,1,1,3,4,5,3,5,9,14,24,25,38
Profit before tax,15,26,44,46,63,51,66,70,71,101,-38,-171
Tax %,35%,26%,22%,19%,8%,7%,7%,4%,5%,2%,1%,-0%
Net Profit,10,19,35,42,55,44,57,67,67,99,-64,-167
EPS in Rs,,0.66,1.18,1.42,1.81,1.50,1.94,2.28,2.30,3.37,-2.18,-5.72
