,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,51,54,140,159,190,168,193,161,132,186,220
Expenses +,51,52,133,147,172,162,184,148,121,173,204
Operating Profit,-1,1,7,12,18,6,9,12,11,13,16
OPM %,-1%,3%,5%,8%,10%,4%,5%,8%,8%,7%,7%
Other Income +,2,4,1,2,2,4,1,2,1,2,2
Interest,0,0,5,6,6,6,6,7,5,5,4
Depreciation,1,1,4,4,5,4,4,6,6,6,7
Profit before tax,1,5,-0,5,10,0,-1,1,0,4,7
Tax %,55%,33%,-100%,37%,43%,-171%,-41%,35%,221%,28%,
Net Profit,0,3,-0,3,6,0,-1,1,-0,3,5
EPS in Rs,,,-0.03,0.85,1.49,0.10,-0.20,0.22,-0.11,0.75,1.26
