,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,761","7,671","9,186","10,771","12,091","14,048","16,312","17,378","21,837","35,756","38,694","46,240","50,486"
Expenses +,"4,714","6,321","7,531","8,753","9,728","11,700","13,346","13,966","18,024","28,984","30,342","36,711","40,099"
Operating Profit,"1,047","1,351","1,654","2,018","2,363","2,348","2,966","3,412","3,813","6,772","8,352","9,529","10,387"
OPM %,18%,18%,18%,19%,20%,17%,18%,20%,17%,19%,22%,21%,21%
Other Income +,144,85,72,30,-11,149,363,351,-197,-515,62,91,153
Interest,312,415,429,485,517,704,735,783,963,"1,481","2,060","2,295","2,492"
Depreciation,214,292,354,407,425,676,672,675,880,"2,012","2,173","2,359","2,438"
Profit before tax,664,729,944,"1,157","1,410","1,117","1,922","2,305","1,773","2,764","4,181","4,966","5,610"
Tax %,11%,18%,22%,19%,17%,15%,10%,12%,11%,21%,16%,11%,
Net Profit,568,561,773,957,"1,187",952,"1,733","2,030","1,575","2,178","3,495","4,437","4,888"
EPS in Rs,8.05,8.02,11.67,14.77,17.79,14.62,22.71,26.51,19.52,23.24,37.58,47.46,52.82
