,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,438","1,392","1,301","1,736","2,641","2,959","2,320","4,503","4,944","3,271","1,521","1,445",921
Expenses +,"1,109","1,015",851,"1,225","2,030","2,062","1,667","1,197","3,897","2,472","1,341","1,446",931
Operating Profit,328,377,449,511,611,898,653,"3,306","1,047",799,180,-1,-10
OPM %,23%,27%,35%,29%,23%,30%,28%,73%,21%,24%,12%,-0%,-1%
Other Income +,58,95,46,64,95,137,518,229,278,90,140,96,74
Interest,61,229,227,220,336,501,561,744,464,481,228,110,77
Depreciation,18,21,20,21,20,69,71,97,17,31,17,12,13
Profit before tax,307,222,248,334,351,464,539,"2,694",844,378,75,-27,-25
Tax %,42%,29%,37%,39%,23%,31%,34%,12%,40%,68%,94%,-408%,
Net Profit,177,158,156,203,271,321,357,"2,360",504,121,5,-137,-143
EPS in Rs,3.97,3.50,4.11,5.28,5.84,6.41,8.30,49.99,11.19,2.65,0.09,-3.00,-3.14
