,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,482","2,602","2,738","3,091","2,985","3,462","4,647","4,730"
Expenses +,"2,075","2,039","2,253","2,487","2,536","2,472","3,624","4,243"
Operating Profit,407,563,484,604,448,990,"1,023",487
OPM %,16%,22%,18%,20%,15%,29%,22%,10%
Other Income +,71,32,40,26,55,87,457,486
Interest,45,15,10,12,11,7,14,25
Depreciation,51,55,61,70,74,78,83,86
Profit before tax,383,525,454,548,418,992,"1,383",863
Tax %,33%,32%,33%,33%,20%,26%,24%,
Net Profit,258,355,306,367,333,738,"1,051",676
EPS in Rs,4.15,5.72,4.94,5.92,5.36,11.89,16.94,10.90
