,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,578,850,987,"1,003","1,128","1,378","1,548","1,689"
Expenses +,372,591,712,701,794,"1,050","1,181","1,354"
Operating Profit,206,259,274,302,334,327,368,334
OPM %,36%,30%,28%,30%,30%,24%,24%,20%
Other Income +,70,52,44,35,-12,33,79,98
Interest,1,1,4,8,7,4,6,5
Depreciation,81,116,119,112,131,159,160,157
Profit before tax,195,194,196,218,185,197,281,270
Tax %,47%,33%,20%,38%,24%,28%,26%,
Net Profit,103,130,158,135,141,142,209,201
EPS in Rs,3.20,4.06,4.92,4.22,4.40,4.44,6.51,6.28
