,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,207","1,421","1,460","1,492","1,553","1,518","1,211","1,519","1,754","1,511","1,333","1,589","1,925"
Expenses +,"1,061","1,246","1,295","1,313","1,337","1,324","1,063","1,306","1,532","1,374","1,230","1,461","1,748"
Operating Profit,146,175,165,179,216,194,148,213,222,137,103,127,177
OPM %,12%,12%,11%,12%,14%,13%,12%,14%,13%,9%,8%,8%,9%
Other Income +,9,3,9,39,5,16,12,9,12,9,5,3,1
Interest,44,46,41,39,31,32,25,21,16,10,5,4,4
Depreciation,38,46,58,68,104,99,79,96,96,93,83,71,69
Profit before tax,74,86,74,111,86,79,56,104,122,43,21,56,105
Tax %,33%,30%,35%,22%,31%,32%,28%,34%,36%,18%,33%,27%,
Net Profit,49,60,48,86,58,54,40,68,78,35,14,41,77
EPS in Rs,2.25,2.45,1.92,3.41,1.91,1.86,1.86,3.21,2.98,1.24,0.48,1.51,2.89
