,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,241,223,264,329,319,312,342,297,299,276,287,299,315
Expenses +,232,224,261,300,290,291,331,296,295,272,267,278,292
Operating Profit,9,-2,4,29,29,21,11,1,4,4,20,21,23
OPM %,4%,-1%,1%,9%,9%,7%,3%,0%,1%,2%,7%,7%,7%
Other Income +,5,1,0,1,1,2,3,0,3,-59,5,23,5
Interest,0,0,0,0,0,0,0,1,1,2,2,1,1
Depreciation,2,2,1,1,2,2,2,1,2,7,6,5,5
Profit before tax,11,-3,3,29,28,21,11,-0,4,-64,16,38,22
Tax %,20%,-62%,58%,35%,31%,-25%,19%,"-4,608%",37%,-1%,33%,13%,
Net Profit,9,-5,1,19,19,26,9,-6,3,-65,11,33,17
EPS in Rs,3.69,-2.03,0.43,7.45,7.66,10.30,3.66,-2.21,1.07,-25.29,4.24,12.95,6.71
