,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,83,85,151,180,188,193,195,190,202,185,54,92,147
Expenses +,58,59,118,140,145,145,151,151,158,150,61,98,131
Operating Profit,25,26,33,39,44,48,44,39,44,35,-7,-7,16
OPM %,30%,31%,22%,22%,23%,25%,23%,20%,22%,19%,-13%,-7%,11%
Other Income +,19,16,24,17,6,15,6,6,8,6,7,6,20
Interest,0,0,31,49,52,38,19,16,14,14,14,15,15
Depreciation,7,7,19,25,32,31,31,30,28,26,19,19,19
Profit before tax,37,36,8,-18,-33,-6,0,-2,10,1,-33,-35,2
Tax %,16%,22%,89%,-33%,-18%,-17%,914%,-242%,65%,"1,089%",1%,1%,
Net Profit,31,28,1,-24,-39,-7,-4,-6,4,-8,-33,-34,-1
EPS in Rs,,16.26,6.22,-4.35,-12.73,3.74,-2.02,-3.31,2.05,-4.34,-19.06,-19.94,-0.77
