,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,851","1,954","2,131","2,226","2,417","1,727","1,943","2,350","2,754","2,718","2,802","3,257","3,570"
Expenses +,"1,711","1,796","1,955","2,057","2,222","1,639","1,780","2,133","2,504","2,476","2,539","2,847","3,142"
Operating Profit,140,158,175,170,195,88,163,216,250,241,263,410,428
OPM %,8%,8%,8%,8%,8%,5%,8%,9%,9%,9%,9%,13%,12%
Other Income +,5,6,7,9,8,92,27,37,44,34,31,47,66
Interest,28,36,35,33,34,25,30,32,37,34,27,13,10
Depreciation,35,42,46,47,55,52,59,69,77,82,93,113,122
Profit before tax,82,86,101,99,114,103,100,152,179,159,174,330,363
Tax %,33%,31%,31%,28%,29%,15%,19%,19%,19%,10%,14%,11%,
Net Profit,55,59,70,72,82,88,81,124,145,143,150,293,321
EPS in Rs,7.54,8.19,9.55,9.82,10.75,11.46,10.53,16.08,18.84,18.53,19.08,37.45,41.02
