,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,TTM
Sales +,231,323,378,398,415,471,604,671,778,787,717,766
Expenses +,194,276,325,371,357,428,528,613,668,695,641,666
Operating Profit,36,47,53,27,58,43,75,58,110,92,76,99
OPM %,16%,15%,14%,7%,14%,9%,12%,9%,14%,12%,11%,13%
Other Income +,1,3,3,3,4,5,2,5,3,7,5,3
Interest,3,7,8,10,5,6,7,8,7,6,5,5
Depreciation,5,6,6,7,8,9,13,13,15,14,15,17
Profit before tax,28,37,41,13,50,33,58,41,91,79,61,80
Tax %,34%,29%,30%,52%,31%,26%,32%,39%,27%,32%,26%,
Net Profit,19,26,29,6,34,24,40,25,66,53,45,60
EPS in Rs,5.37,7.58,8.23,1.77,9.91,7.02,11.52,8.15,18.50,15.35,12.13,15.08
