,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,779,677,543,491,472,506,564,539,702,761,949,"1,699","1,663"
Expenses +,639,605,571,510,466,500,512,463,623,667,783,"1,299","1,375"
Operating Profit,141,72,-28,-19,6,6,52,76,79,93,166,399,288
OPM %,18%,11%,-5%,-4%,1%,1%,9%,14%,11%,12%,18%,24%,17%
Other Income +,9,8,16,7,25,-2,107,21,0,1,43,21,5
Interest,11,21,41,58,60,55,47,36,38,38,28,14,11
Depreciation,64,67,70,68,71,72,34,32,30,43,35,35,36
Profit before tax,75,-8,-123,-138,-98,-123,78,28,12,12,146,372,247
Tax %,6%,155%,-7%,-0%,1%,-1%,0%,16%,-405%,83%,38%,29%,
Net Profit,70,5,-132,-138,-98,-124,78,24,58,2,90,265,182
EPS in Rs,6.58,0.40,-12.30,-12.89,-9.12,-11.06,6.98,2.08,5.23,0.27,8.02,23.63,16.24
