,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,87,24,34,63,57,144,94,201,150,45,42,96,117
Expenses +,91,15,25,53,49,111,64,170,109,24,26,70,74
Operating Profit,-4,8,9,10,8,33,30,31,41,21,16,26,43
OPM %,-4%,36%,26%,15%,14%,23%,32%,16%,28%,47%,38%,27%,37%
Other Income +,18,35,5,2,8,7,3,1,6,1,2,1,1
Interest,1,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,3,2,2,2,2,3,2,2,2,2,2,2,2
Profit before tax,10,41,11,10,14,38,31,30,45,20,16,25,42
Tax %,-1%,9%,31%,26%,2%,6%,10%,-2%,20%,19%,37%,24%,
Net Profit,10,37,8,7,13,36,28,31,36,16,10,19,33
EPS in Rs,5.00,18.45,4.20,3.83,7.09,16.55,13.10,14.23,16.67,7.70,4.91,9.25,15.80
