,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,561,599,685,782,825,846,885,"1,018",953,"1,035","1,189","1,325"
Expenses +,500,541,622,703,722,710,724,826,775,830,966,"1,093"
Operating Profit,61,58,62,79,103,136,161,192,178,204,223,232
OPM %,11%,10%,9%,10%,13%,16%,18%,19%,19%,20%,19%,17%
Other Income +,3,6,4,4,6,8,18,21,32,35,25,22
Interest,17,14,13,10,9,7,10,14,12,10,11,11
Depreciation,16,16,14,12,13,14,15,17,19,21,21,22
Profit before tax,32,33,39,61,87,123,153,182,179,208,216,220
Tax %,25%,26%,32%,29%,29%,32%,31%,31%,21%,24%,24%,
Net Profit,24,25,27,43,62,84,105,126,141,158,165,168
EPS in Rs,10.13,10.43,11.75,19.71,28.29,38.55,48.06,57.44,64.22,76.83,79.92,81.44
