,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"2,154","2,287","2,603","3,016","3,210","3,268","4,348","5,730","6,549","6,916","6,785","7,461","8,218"
Expenses +,"1,705","1,934","2,209","2,759","2,908","2,982","3,724","4,922","5,600","5,569","5,434","6,351","7,365"
Operating Profit,449,353,394,258,302,286,624,808,949,"1,347","1,352","1,110",852
OPM %,21%,15%,15%,9%,9%,9%,14%,14%,14%,19%,20%,15%,10%
Other Income +,107,126,127,113,143,146,139,62,78,74,28,67,89
Interest,53,53,65,86,78,82,277,378,371,388,296,243,279
Depreciation,65,81,105,133,154,149,256,332,339,352,371,397,440
Profit before tax,438,346,351,152,213,201,230,160,317,682,713,538,223
Tax %,27%,31%,23%,15%,18%,17%,5%,4%,19%,26%,12%,26%,
Net Profit,320,239,270,130,175,168,219,154,256,505,630,399,177
EPS in Rs,41.58,31.09,35.10,16.86,22.76,21.78,28.50,19.99,33.20,65.60,81.83,51.76,22.98
