,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,59,75,90,25,32,66,101,99,103,106,109,112,137
Expenses +,69,122,78,23,27,54,79,82,80,92,99,95,117
Operating Profit,-10,-47,12,2,6,11,22,17,23,14,11,17,20
OPM %,-17%,-63%,13%,8%,18%,17%,22%,17%,22%,13%,10%,15%,15%
Other Income +,5,2,-22,1,1,1,4,1,1,2,7,2,3
Interest,2,3,2,0,0,0,1,2,1,2,1,1,1
Depreciation,11,10,1,1,3,6,4,3,3,8,7,7,7
Profit before tax,-18,-58,-13,2,4,7,21,12,20,5,9,12,15
Tax %,-3%,2%,-5%,41%,15%,-38%,22%,-6%,5%,12%,6%,17%,
Net Profit,-19,-57,-14,1,3,9,16,13,19,5,9,10,13
EPS in Rs,-9.44,-29.00,-6.90,0.57,1.59,4.62,8.30,5.27,9.60,2.43,4.49,4.99,6.50
