,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,546,855,915,822,"1,312","1,702","2,116","3,007","3,881","4,040","1,185","1,469",918
Expenses +,531,832,974,899,"1,362","1,716","2,127","2,973","3,809","4,040","1,492","1,749","1,246"
Operating Profit,15,24,-59,-77,-50,-14,-12,35,72,0,-308,-280,-328
OPM %,3%,3%,-6%,-9%,-4%,-1%,-1%,1%,2%,0%,-26%,-19%,-36%
Other Income +,-2,-36,42,106,20,25,25,30,31,-61,-24,-55,-198
Interest,24,22,17,5,32,70,45,53,73,87,72,63,57
Depreciation,25,23,37,39,47,28,33,45,53,70,58,52,45
Profit before tax,-37,-57,-72,-16,-109,-88,-65,-33,-24,-218,-462,-450,-628
Tax %,-7%,-16%,-7%,4%,-1%,0%,-1%,8%,70%,1%,-5%,0%,
Net Profit,-36,-54,-68,-15,-107,-111,-65,-31,-7,-217,-483,-450,-630
EPS in Rs,,-0.27,-0.35,,-0.62,-0.65,-0.37,-0.14,-0.03,-1.12,-2.43,-2.25,-3.15
