,Mar 2008,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,19,10,251,135,162,137,264,648,"1,425",980,"1,108",579,672
Expenses +,19,13,274,170,172,144,241,650,"1,424",974,"1,096",576,666
Operating Profit,0,-3,-24,-35,-11,-7,23,-3,0,7,12,3,6
OPM %,2%,-27%,-9%,-26%,-7%,-5%,9%,-0%,0%,1%,1%,1%,1%
Other Income +,0,-0,2,3,1,1,7,-22,106,9,4,7,5
Interest,0,0,4,4,3,4,6,5,4,2,2,4,5
Depreciation,3,0,8,12,21,15,13,4,2,2,2,2,2
Profit before tax,-2,-3,-34,-48,-34,-25,10,-35,100,12,12,4,5
Tax %,-18%,-3%,-1%,-0%,-0%,-1%,4%,-0%,-1%,30%,68%,46%,
Net Profit,-2,-3,-34,-48,-34,-25,10,-35,101,8,4,2,3
EPS in Rs,,,-0.34,-0.42,-0.30,-0.22,0.09,-0.31,0.89,0.07,0.02,0.01,0.01
