,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,568","1,958","2,254","2,201","2,356","2,531","2,784","2,919","3,341","3,305","2,491","3,778","5,024"
Expenses +,"1,305","1,602","1,847","1,767","1,828","1,901","2,103","2,313","2,582","2,576","1,886","2,797","3,515"
Operating Profit,263,356,407,434,528,629,681,607,759,729,605,982,"1,509"
OPM %,17%,18%,18%,20%,22%,25%,24%,21%,23%,22%,24%,26%,30%
Other Income +,20,9,-50,-26,-15,-3,37,38,16,16,18,58,97
Interest,152,213,179,183,171,165,137,127,127,120,74,64,56
Depreciation,100,106,82,82,85,82,86,110,117,131,111,117,121
Profit before tax,31,46,96,143,257,380,495,407,531,495,437,859,"1,430"
Tax %,131%,3%,26%,24%,29%,32%,23%,13%,34%,20%,25%,25%,
Net Profit,-10,44,71,109,182,258,380,356,351,397,326,647,"1,082"
EPS in Rs,-0.96,4.45,7.14,10.85,18.19,25.77,38.04,36.58,35.76,41.74,34.32,67.82,113.31
