,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"22,566","26,516","31,618","35,306","38,817","39,192","42,768","43,449","48,340","49,388","49,257","60,645","69,261"
Expenses +,"14,850","17,272","20,398","22,227","24,566","24,661","27,298","26,928","29,802","30,044","32,193","40,021","45,728"
Operating Profit,"7,716","9,244","11,221","13,080","14,252","14,531","15,470","16,521","18,537","19,344","17,065","20,623","23,533"
OPM %,34%,35%,35%,37%,37%,37%,36%,38%,38%,39%,35%,34%,34%
Other Income +,510,772,852,966,"1,229","1,483","1,759","2,240","2,080","2,417","2,577","1,910","1,696"
Interest,92,102,108,29,91,78,49,115,71,81,58,60,42
Depreciation,699,745,859,965,"1,028","1,077","1,153","1,236","1,397","1,645","1,646","1,732","1,797"
Profit before tax,"7,435","9,168","11,106","13,052","14,362","14,859","16,026","17,409","19,150","20,035","17,938","20,740","23,390"
Tax %,32%,31%,31%,31%,32%,36%,35%,34%,33%,22%,25%,25%,
Net Profit,"5,079","6,334","7,704","9,001","9,779","9,501","10,477","11,493","12,836","15,593","13,383","15,503","17,546"
EPS in Rs,4.32,5.34,6.42,7.45,8.04,7.74,8.47,9.24,10.27,12.45,10.69,12.37,13.98
